Name,Material,Color,Size,Price,URL,Image,Brand_name,Description
KAYA ZEBRA,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large']",€59.00,https://www.consciousthelabel.com/product-page/kaya-zebra,"https://static.wixstatic.com/media/6733fb_5a343df709df4cec961cd8d9a1df4797~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_5a343df709df4cec961cd8d9a1df4797~mv2.jpg",conscious-swimwear,"Kaya bikini top is the next level of basics. Great for the one who needs a very natural push-up effect.  Adjustable back, and you can also wear it tied up behind your neck. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
OLLIE ZEBRA,"['78% recycled plastic', '22% elastane']",,"['Small (PRE-ORDER ships between 21-25 May)', 'Medium', 'Large']",€65.00,https://www.consciousthelabel.com/product-page/ollie-zebra,"https://static.wixstatic.com/media/6733fb_a232de1c4434461fb87be68b4ae862df~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_a232de1c4434461fb87be68b4ae862df~mv2.jpg",conscious-swimwear,"Ollie is our newest addiction. It works perfectly for small and more significant breasts: for small, use it with our padding and have an additional push-up. If you have it bigger, enjoy the extra support from the elastic underneath and the natural lifting effect. This top has adjustable straps and includes removable padding. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
ZOE ZEBRA,"['78% recycled plastic', '22% elastane']",,"['Small (PRE-ORDER ships between 21-25 May)', 'Medium', 'Large (PRE-ORDER ships between 21-25 May)']",€59.00,https://www.consciousthelabel.com/product-page/zoe-zebra,"https://static.wixstatic.com/media/6733fb_9505c33e75794de794cdb82bf503dfc3~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_9505c33e75794de794cdb82bf503dfc3~mv2.jpg",conscious-swimwear,"Zoe bikini top has the perfect high cut – your best friend if you’re looking for something practical with support. With adjustable straps, you will be able to fit it perfectly into your body. Made of 78% recycled plastic and 22% elastane and ethically produced in our Lisbon atelier. Sustainable packaged.   "
TRIANGLE ZEBRA,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large']",€55.00,https://www.consciousthelabel.com/product-page/triangle-zebra,"https://static.wixstatic.com/media/6733fb_d6b22c019b434f43bd8ae0d13a81f99d~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_d6b22c019b434f43bd8ae0d13a81f99d~mv2.jpg",conscious-swimwear,"Triangle bikini top is your go-to essential for summer. It works great for every body type, and its minimalist shape is a tan best friend. Adjustable straps & back, and you can also wear it tied up behind your neck. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
NALA ZEBRA,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large']",€49.00,https://www.consciousthelabel.com/product-page/nala-zebra,"https://static.wixstatic.com/media/6733fb_34d20756267a48a0accaa73dbe8da929~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_34d20756267a48a0accaa73dbe8da929~mv2.jpg",conscious-swimwear,Nala bikini bottom is the perfect tan friend with its minimalist shape. Adjustable waist. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   
NOAH ZEBRA,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large']",€52.00,https://www.consciousthelabel.com/product-page/noah-zebra,"https://static.wixstatic.com/media/6733fb_b4e6adf63306468d8c3f0ed6d0570312~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_b4e6adf63306468d8c3f0ed6d0570312~mv2.jpg",conscious-swimwear,"Perfectly designed to fit your body like no other, our Noah bottoms have a classic inspired Brazilian minimalist shape. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.Model wears a size small "
SAINT ZEBRA,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large']",€55.00,https://www.consciousthelabel.com/product-page/saint-zebra,"https://static.wixstatic.com/media/6733fb_bf45a3a24b61429cbf67e7e0fc7989e2~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_bf45a3a24b61429cbf67e7e0fc7989e2~mv2.jpg",conscious-swimwear,"Saint bikini bottom is for the ones who love the elegance of a high waist but don't want to give up on a cute little back as well. For perfect belly tanning, you can fold them when lying down at the beach. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
DIXIE ZEBRA,"['78% recycled plastic', '22% elastane']",,"['Small (PRE-ORDER ships between 21-25 May)', 'Medium (PRE-ORDER ships between 21-25 May)', 'Large (PRE-ORDER ships between 21-25 May)']",,https://www.consciousthelabel.com/product-page/dixie-zebra,"https://static.wixstatic.com/media/6733fb_acda4d711e224326a96f6e89faedfaa7~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_acda4d711e224326a96f6e89faedfaa7~mv2.jpg",conscious-swimwear,"Dixie is our classic shape bikini bottom, offering a little extra coverage compared to our other bottoms. All edges are sewn with elastic to keep it in the right place from sunrise to sunset.  Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
KAYA SAND,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large']",€59.00,https://www.consciousthelabel.com/product-page/kaya-sand,"https://static.wixstatic.com/media/6733fb_ac9f516f75df43fdbc724536750cd25c~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_ac9f516f75df43fdbc724536750cd25c~mv2.jpg",conscious-swimwear,"Kaya bikini top is the next level of basics. Great for the one who needs a very natural push-up effect.  Adjustable back, and you can also wear it tied up behind your neck. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.     "
OLLIE SAND,"['78% recycled plastic', '22% elastane']",,"['Small (PRE-ORDER ships between 21-25 May)', 'Medium (PRE-ORDER ships between 21-25 May)', 'Large']",€65.00,https://www.consciousthelabel.com/product-page/ollie-sand,"https://static.wixstatic.com/media/6733fb_506060fc6ec7445aae407a8bc038aae7~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_506060fc6ec7445aae407a8bc038aae7~mv2.jpg",conscious-swimwear,"Ollie is our newest addiction. It works perfectly for small and more significant breasts: for small, use it with our padding and have an additional push-up. If you have it bigger, enjoy the extra support from the elastic underneath and the natural lifting effect. This top has adjustable straps and includes removable padding. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
ZOE SAND,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large']",€59.00,https://www.consciousthelabel.com/product-page/zoe-sand,"https://static.wixstatic.com/media/6733fb_447b0507742c4da4937366f23d1c5fe7~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_447b0507742c4da4937366f23d1c5fe7~mv2.jpg",conscious-swimwear,"Zoe bikini top has the perfect high cut – your best friend if you’re looking for something practical with support. With adjustable straps, you will be able to fit it perfectly into your body. Made of 78% recycled plastic and 22% elastane and ethically produced in our Lisbon atelier. Sustainable packaged.   "
TRIANGLE SAND,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large']",€55.00,https://www.consciousthelabel.com/product-page/triangle-sand,"https://static.wixstatic.com/media/6733fb_b1cf2d1fe1b24d368b1795a91581cb2f~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_b1cf2d1fe1b24d368b1795a91581cb2f~mv2.jpg",conscious-swimwear,"Triangle bikini top is your go-to essential for summer. It works great for every body type, and its minimalist shape is a tan best friend. Adjustable straps & back, and you can also wear it tied up behind your neck. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
NALA SAND,"['78% recycled plastic', '22% elastane']",,"['Small (PRE-ORDER ships between 21-25 May)', 'Medium', 'Large (PRE-ORDER ships between 21-25 May)']",€49.00,https://www.consciousthelabel.com/product-page/nala-sand,"https://static.wixstatic.com/media/6733fb_684d117ff7a44ff2aa109aa2ec380424~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_684d117ff7a44ff2aa109aa2ec380424~mv2.jpg",conscious-swimwear,Nala bikini bottom is the perfect tan friend with its minimalist shape. Adjustable waist. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   
NOAH SAND,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large (PRE-ORDER ships between 21-25 May)']",€52.00,https://www.consciousthelabel.com/product-page/noah-sand,"https://static.wixstatic.com/media/6733fb_cee266d0ee5c4b3faad39d3cae002831~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_cee266d0ee5c4b3faad39d3cae002831~mv2.jpg",conscious-swimwear,"Perfectly designed to fit your body like no other, our Noah bottoms have a classic inspired Brazilian minimalist shape. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.Model wears a size small "
SAINT SAND,"['78% recycled plastic', '22% elastane']",,[],€55.00,https://www.consciousthelabel.com/product-page/saint-sand,"https://static.wixstatic.com/media/6733fb_7caf935435aa450390a2c783202a7434~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_7caf935435aa450390a2c783202a7434~mv2.jpg",conscious-swimwear,"Saint bikini bottom is for the ones who love the elegance of a high waist but don't want to give up on a cute little back as well. For perfect belly tanning, you can fold them when lying down at the beach. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
DIXIE SAND,"['78% recycled plastic', '22% elastane']",,[],€55.00,https://www.consciousthelabel.com/product-page/dixie-sand,"https://static.wixstatic.com/media/6733fb_a60e80e9beb8489aa8c45011fa42c446~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_a60e80e9beb8489aa8c45011fa42c446~mv2.jpg",conscious-swimwear,"Dixie is our classic shape bikini bottom, offering a little extra coverage compared to our other bottoms. All edges are sewn with elastic to keep it in the right place from sunrise to sunset.  Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.Model 1 wears a size smallModel 2 wears a size medium "
SAND SWIMSUIT,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large (PRE-ORDER ships between 21-25 May)']",€120.00,https://www.consciousthelabel.com/product-page/sand-swimsuit,"https://static.wixstatic.com/media/6733fb_6151676bf7244964bf91f9da1fe23083~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_6151676bf7244964bf91f9da1fe23083~mv2.jpg",conscious-swimwear,The sand swimsuit was designed to hug your body like no other: it will keep everything in place with its shaping effect. Adjustable straps. Made of 78% recycled plastic and 22% elastane and ethically produced in our Lisbon atelier. Sustainable packaged.     
KAYA RUST,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium (PRE-ORDER ships between 21-25 May)', 'Large (PRE-ORDER ships between 21-25 May)']",€59.00,https://www.consciousthelabel.com/product-page/kaya-rust,"https://static.wixstatic.com/media/6733fb_fc902f0e79e0457e96abdc1540a23171~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_fc902f0e79e0457e96abdc1540a23171~mv2.jpg",conscious-swimwear,"Kaya bikini top is the next level of basics. Great for the one who needs a very natural push-up effect.  Adjustable back, and you can also wear it tied up behind your neck. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
OLLIE RUST,"['78% recycled plastic', '22% elastane']",,"['Small (PRE-ORDER ships between 21-25 May)', 'Medium (PRE-ORDER ships between 21-25 May)', 'Large (PRE-ORDER ships between 21-25 May)']",€65.00,https://www.consciousthelabel.com/product-page/ollie-rust,"https://static.wixstatic.com/media/6733fb_2dc4aaf9c55d42aba78688e62379178a~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_2dc4aaf9c55d42aba78688e62379178a~mv2.jpg",conscious-swimwear,"Ollie is our newest addiction. It works perfectly for small and more significant breasts: for small, use it with our padding and have an additional push-up. If you have it bigger, enjoy the extra support from the elastic underneath and the natural lifting effect. This top has adjustable straps and includes removable padding. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
ZOE RUST,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large']",€59.00,https://www.consciousthelabel.com/product-page/zoe-rust,"https://static.wixstatic.com/media/6733fb_140ea114d87c4501bf7935597381b64f~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_140ea114d87c4501bf7935597381b64f~mv2.jpg",conscious-swimwear,"Zoe bikini top has the perfect high cut – your best friend if you’re looking for something practical with support. With adjustable straps, you will be able to fit it perfectly into your body. Made of 78% recycled plastic and 22% elastane and ethically produced in our Lisbon atelier. Sustainable packaged.   "
TRIANGLE RUST,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large']",€55.00,https://www.consciousthelabel.com/product-page/triangle-rust,"https://static.wixstatic.com/media/6733fb_c05f62c0a9744a7f9a49ac2a141898ca~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_c05f62c0a9744a7f9a49ac2a141898ca~mv2.jpg",conscious-swimwear,"Triangle bikini top is your go-to essential for summer. It works great for every body type, and its minimalist shape is a tan best friend. Adjustable straps & back, and you can also wear it tied up behind your neck. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
NALA RUST,"['78% recycled plastic', '22% elastane']",,"['Small (PRE-ORDER ships between 21-25 May)', 'Medium', 'Large']",€49.00,https://www.consciousthelabel.com/product-page/nala-rust,"https://static.wixstatic.com/media/6733fb_365e31e1094c4f57b9dd151b88cd4cde~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_365e31e1094c4f57b9dd151b88cd4cde~mv2.jpg",conscious-swimwear,Nala bikini bottom is the perfect tan friend with its minimalist shape. Adjustable waist. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   
NOAH RUST,"['78% recycled plastic', '22% elastane']",,"['Small (PRE-ORDER ships between 21-25 May)', 'Medium', 'Large']",€52.00,https://www.consciousthelabel.com/product-page/noah-rust,"https://static.wixstatic.com/media/6733fb_b8cbd9d5212849d2826dd6c2ec4c1382~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_b8cbd9d5212849d2826dd6c2ec4c1382~mv2.jpg",conscious-swimwear,"Perfectly designed to fit your body like no other, our Noah bottoms have a classic inspired Brazilian minimalist shape. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.Model 1 wears a size smallModel 2 wears a size medium "
SAINT RUST,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large (PRE-ORDER ships between 21-25 May)']",€55.00,https://www.consciousthelabel.com/product-page/saint-rust,"https://static.wixstatic.com/media/6733fb_b34eab61a8af43f8aba426cab41f1192~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_b34eab61a8af43f8aba426cab41f1192~mv2.jpg",conscious-swimwear,"Saint bikini bottom is for the ones who love the elegance of a high waist but don't want to give up on a cute little back as well. For perfect belly tanning, you can fold them when lying down at the beach. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
DIXIE RUST,"['78% recycled plastic', '22% elastane']",,"['Small (PRE-ORDER ships between 21-25 May)', 'Medium (PRE-ORDER ships between 21-25 May)', 'Large (PRE-ORDER ships between 21-25 May)']",€55.00,https://www.consciousthelabel.com/product-page/dixie-rust,"https://static.wixstatic.com/media/6733fb_cb01bd5ac6e34309af93132e1c13653e~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_cb01bd5ac6e34309af93132e1c13653e~mv2.jpg",conscious-swimwear,"Dixie is our classic shape bikini bottom, offering a little extra coverage compared to our other bottoms. All edges are sewn with elastic to keep it in the right place from sunrise to sunset.  Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.Model 1 wears a size small "
RUST SWIMSUIT,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large (PRE-ORDER ships between 21-25 May)']",€120.00,https://www.consciousthelabel.com/product-page/rust-swimsuit,"https://static.wixstatic.com/media/6733fb_525c2a8a967f4fedacefd9c62e105e3b~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_525c2a8a967f4fedacefd9c62e105e3b~mv2.jpg",conscious-swimwear,The rust swimsuit was designed to hug your body like no other: it will keep everything in place with its shaping effect. Adjustable straps. Made of 78% recycled plastic and 22% elastane and ethically produced in our Lisbon atelier. Sustainable packaged.   
KAYA BROWN LEOPARD,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium (PRE-ORDER ships between 21-25 May)', 'Large (PRE-ORDER ships between 21-25 May)']",€59.00,https://www.consciousthelabel.com/product-page/kaya-brown-leopard,"https://static.wixstatic.com/media/6733fb_78ab6fc4ab4b49d88ddf98633a7c8d79~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_78ab6fc4ab4b49d88ddf98633a7c8d79~mv2.jpg",conscious-swimwear,"Kaya bikini top is the next level of basics. Great for the one who needs a very natural push-up effect.  Adjustable back, and you can also wear it tied up behind your neck. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
