FULL_NAME,LOWER_NAME,ABBR,ATTRIBUTE,REDUCED_NAME,Alternative names for material,NAME_VARIATIONS
"Acetate, Triacetate fabric","acetate, triacetate fabric",,['fabric'],acetate triacetate,,['acetate triacetate']
Acrylic fabric,acrylic fabric,,['fabric'],acrylic,,['acrylic']
Alpaca Fabric,alpaca fabric,,['fabric'],alpaca,,['alpaca']
Aramid fabric,aramid fabric,,['fabric'],aramid,,['aramid']
Carbon fiber fabric,carbon fiber fabric,,"['fiber', 'fabric']",carbon,,['carbon']
"Viscose/Rayon (generic), regenerated cellulose from wood pulp","viscose/rayon (generic), regenerated cellulose from wood pulp",['GENERIC'],,viscose/rayon regenerated cellulose from wood pulp,,"['GENERIC', 'viscose/rayon regenerated cellulose from wood pulp']"
Cotton fabric,cotton fabric,,['fabric'],cotton,Cotton,['cotton']
"Cotton fiber, organic","cotton fiber, organic",,"['fiber', 'organic']",cotton,Organic cotton,"['organic cotton', 'cotton']"
"Cotton fiber, recycled","cotton fiber, recycled",,"['fiber', 'recycled']",cotton,Recycled cotton,"['cotton', 'recycled cotton']"
Elastane/Spandex  fabric,elastane/spandex  fabric,,['fabric'],elastane/spandex,,['elastane/spandex']
Flax fiber fabric,flax fiber fabric,,"['fiber', 'fabric']",flax,Flax / linen,"['flax', 'flax / linen']"
Glass fiber fabric,glass fiber fabric,,"['fiber', 'fabric']",glass,,['glass']
Hemp fiber fabric,hemp fiber fabric,,"['fiber', 'fabric']",hemp,Hemp,['hemp']
Jute fiber fabric,jute fiber fabric,,"['fiber', 'fabric']",jute,Jute,['jute']
Lyocell fabric,lyocell fabric,,['fabric'],lyocell,Lyocell,['lyocell']
Modal fabric,modal fabric,,['fabric'],modal,Modal,['modal']
Nylon fabric,nylon fabric,,['fabric'],nylon,Nylon,['nylon']
"Nylon fabric, recycled","nylon fabric, recycled",,"['fabric', 'recycled']",nylon,Recycled Nylon,"['recycled nylon', 'nylon']"
Polyester fabric,polyester fabric,,['fabric'],polyester,Polyester,['polyester']
"Polyester fabric, chemically recycled","polyester fabric, chemically recycled",,"['fabric', 'recycled']",polyester chemically,Recycled Polyester,"['recycled polyester', 'polyester chemically']"
Polyethylene (PE) fabric,polyethylene (pe) fabric,['PE'],['fabric'],polyethylene,Polyethylene,"['PE', 'polyethylene']"
Polylactic Acid (PLA) fabric,polylactic acid (pla) fabric,['PLA'],['fabric'],polylactic acid,Polylactic,"['polylactic', 'polylactic acid', 'PLA']"
Polypropylene (PP) fabric,polypropylene (pp) fabric,['PP'],['fabric'],polypropylene,Polypropylene,"['PP', 'polypropylene']"
"Polypropylene (PP), recycled for textile","polypropylene (pp), recycled for textile",['PP'],['recycled'],polypropylene  textile,Polypropylene,"['polypropylene  textile', 'PP', 'polypropylene']"
Polytrimethylene terephthalate (PTT) fabric,polytrimethylene terephthalate (ptt) fabric,['PTT'],['fabric'],polytrimethylene terephthalate,Polytrimethylene terephthalate,"['polytrimethylene terephthalate', 'PTT']"
Polyurethane (PU) fabric,polyurethane (pu) fabric,['PU'],['fabric'],polyurethane,Polyurethane,"['polyurethane', 'PU']"
Silk fabric,silk fabric,,['fabric'],silk,Silk,['silk']
Viscose/Rayon fabric,viscose/rayon fabric,,['fabric'],viscose/rayon,Viscose / Rayon,"['viscose / rayon', 'viscose/rayon']"
Wool fabric,wool fabric,,['fabric'],wool,Wool,['wool']
"Wool fabric, recycled","wool fabric, recycled",,"['fabric', 'recycled']",wool,Recycled Wool,"['wool', 'recycled wool']"
Acrylonitrile butadiene styrene (ABS) plastic,acrylonitrile butadiene styrene (abs) plastic,['ABS'],['plastic'],acrylonitrile butadiene styrene,,"['ABS', 'acrylonitrile butadiene styrene']"
Epoxy plastic,epoxy plastic,,['plastic'],epoxy,,['epoxy']
Nylon/Polyamide (PA) plastic,nylon/polyamide (pa) plastic,['PA'],['plastic'],nylon/polyamide,,"['nylon/polyamide', 'PA']"
"Nylon, mechanically recycled, for plastic","nylon, mechanically recycled, for plastic",,"['plastic', 'recycled']",nylon mechanically,,['nylon mechanically']
Poly(methyl methacrylate) (PMMA) (Acrylic) plastic,poly(methyl methacrylate) (pmma) (acrylic) plastic,"['PMMA', 'ACRYLIC']",['plastic'],poly(methyl methacrylate),,"['poly(methyl methacrylate)', 'PMMA', 'ACRYLIC']"
Polycarbonate (PC) plastic,polycarbonate (pc) plastic,['PC'],['plastic'],polycarbonate,,"['PC', 'polycarbonate']"
"Polycarbonate (PC) plastic, recycled","polycarbonate (pc) plastic, recycled",['PC'],"['plastic', 'recycled']",polycarbonate,,"['PC', 'polycarbonate']"
Polyester plastic,polyester plastic,,['plastic'],polyester,,['polyester']
"Polyethylene terephthalate (PET), chemically (methanolysis) recycled, for plastic","polyethylene terephthalate (pet), chemically (methanolysis) recycled, for plastic","['PET', 'METHANOLYSIS']","['plastic', 'recycled']",polyethylene terephthalate chemically,,"['METHANOLYSIS', 'polyethylene terephthalate chemically', 'PET']"
Polyethylene (PE) plastic,polyethylene (pe) plastic,['PE'],['plastic'],polyethylene,,"['PE', 'polyethylene']"
Polylactic Acid (PLA) plastic,polylactic acid (pla) plastic,['PLA'],['plastic'],polylactic acid,,"['polylactic acid', 'PLA']"
Polyoxymethylene (POM) plastic,polyoxymethylene (pom) plastic,['POM'],['plastic'],polyoxymethylene,,"['POM', 'polyoxymethylene']"
Polypropylene (PP) plastic,polypropylene (pp) plastic,['PP'],['plastic'],polypropylene,,"['PP', 'polypropylene']"
"Polypropylene (PP), recycled, for plastic","polypropylene (pp), recycled, for plastic",['PP'],"['plastic', 'recycled']",polypropylene,,"['PP', 'polypropylene']"
Polysterene (PS) plastic,polysterene (ps) plastic,['PS'],['plastic'],polysterene,,"['PS', 'polysterene']"
Polytetrafluoroethylene (PTFE) plastic,polytetrafluoroethylene (ptfe) plastic,['PTFE'],['plastic'],polytetrafluoroethylene,,"['polytetrafluoroethylene', 'PTFE']"
Polyvinyl Acetate (PVA) plastic,polyvinyl acetate (pva) plastic,['PVA'],['plastic'],polyvinyl acetate,,"['polyvinyl acetate', 'PVA']"
Polyvinyl chloride (PVC) plastic,polyvinyl chloride (pvc) plastic,['PVC'],['plastic'],polyvinyl chloride,,"['polyvinyl chloride', 'PVC']"
Silicone plastic,silicone plastic,,['plastic'],silicone,,['silicone']
Thermoplastic Polyurethane (TPU) plastic,thermoplastic polyurethane (tpu) plastic,['TPU'],['plastic'],thermo polyurethane,,"['TPU', 'thermo polyurethane']"
Thermoset polyurethane PU plastic,thermoset polyurethane pu plastic,,['plastic'],thermoset polyurethane pu,,['thermoset polyurethane pu']
Aluminium,aluminium,,,aluminium,,['aluminium']
Brass,brass,,,brass,,['brass']
Chromium,chromium,,,chromium,,['chromium']
Copper,copper,,,copper,,['copper']
Gold,gold,,,gold,,['gold']
Iron,iron,,,iron,,['iron']
Lead,lead,,,lead,,['lead']
Nickel,nickel,,,nickel,,['nickel']
Platinum,platinum,,,platinum,,['platinum']
Silver,silver,,,silver,,['silver']
Steel,steel,,,steel,,['steel']
Tin,tin,,,tin,,['tin']
Titanium,titanium,,,titanium,,['titanium']
Zinc,zinc,,,zinc,,['zinc']
Butyl rubber,butyl rubber,,,butyl rubber,,['butyl rubber']
Chloroprene rubber (Neoprene),chloroprene rubber (neoprene),['NEOPRENE'],,chloroprene rubber,,"['NEOPRENE', 'chloroprene rubber']"
Foamed rubber,foamed rubber,,,foamed rubber,,['foamed rubber']
Isoprene Rubber (IR),isoprene rubber (ir),['IR'],,isoprene rubber,,"['IR', 'isoprene rubber']"
Natural Rubber (NR),natural rubber (nr),['NR'],,natural rubber,,"['natural rubber', 'NR']"
Nitrile Rubber (NBR),nitrile rubber (nbr),['NBR'],,nitrile rubber,,"['nitrile rubber', 'NBR']"
Polybutadiene rubber (BR),polybutadiene rubber (br),['BR'],,polybutadiene rubber,,"['polybutadiene rubber', 'BR']"
Silicone rubber,silicone rubber,,,silicone rubber,,['silicone rubber']
Styrene-butadiene rubber (SBR),styrene-butadiene rubber (sbr),['SBR'],,styrene-butadiene rubber,,"['styrene-butadiene rubber', 'SBR']"
Thermoplastic elastomer (TPE),thermoplastic elastomer (tpe),['TPE'],,thermoplastic elastomer,,"['thermoplastic elastomer', 'TPE']"
Thermoplastic polyurethane (TPU) rubber,thermoplastic polyurethane (tpu) rubber,['TPU'],,thermoplastic polyurethane rubber,,"['thermoplastic polyurethane rubber', 'TPU']"
Thermoset polyurethane (PU) rubber,thermoset polyurethane (pu) rubber,['PU'],,thermoset polyurethane rubber,,"['PU', 'thermoset polyurethane rubber']"
Typical footwear rubber compound,typical footwear rubber compound,,,typical footwear rubber compound,,['typical footwear rubber compound']
BiComponent Coating,bicomponent coating,,,bicomponent coating,,['bicomponent coating']
BiComponent Laminate,bicomponent laminate,,,bicomponent laminate,,['bicomponent laminate']
Microporous Coating,microporous coating,,,microporous coating,,['microporous coating']
Microporous Laminate,microporous laminate,,,microporous laminate,,['microporous laminate']
Monolithic Coating,monolithic coating,,,monolithic coating,,['monolithic coating']
Monolithic Laminate,monolithic laminate,,,monolithic laminate,,['monolithic laminate']
Cow leather,cow leather,,['leather'],cow,,['cow']
Goat leather,goat leather,,['leather'],goat,,['goat']
Kangaroo leather,kangaroo leather,,['leather'],kangaroo,,['kangaroo']
Pig leather,pig leather,,['leather'],pig,,['pig']
Plant based materials,plant based materials,,,plant based materials,,['plant based materials']
Cardboard,cardboard,,,cardboard,,['cardboard']
"Cardboard, recycled","cardboard, recycled",,['recycled'],cardboard,,['cardboard']
Cork,cork,,,cork,,['cork']
Paper,paper,,,paper,,['paper']
"Paper, recycled","paper, recycled",,['recycled'],paper,,['paper']
Wood,wood,,,wood,,['wood']
Duck Down insulation,duck down insulation,,['insulation'],duck down,,['duck down']
"Duck down, recycled","duck down, recycled",,['recycled'],duck down,,['duck down']
Goose Down insulation,goose down insulation,,['insulation'],goose down,,['goose down']
"Goose down, recycled","goose down, recycled",,['recycled'],goose down,,['goose down']
Polyester insulation,polyester insulation,,['insulation'],polyester,,['polyester']
"Polyethylene terephthalate (PET), chemically (methanolysis) recycled, for insulation","polyethylene terephthalate (pet), chemically (methanolysis) recycled, for insulation","['PET', 'METHANOLYSIS']","['recycled', 'insulation']",polyethylene terephthalate chemically,,"['METHANOLYSIS', 'polyethylene terephthalate chemically', 'PET']"
Sheep Wool insulation,sheep wool insulation,,['insulation'],sheep wool,,['sheep wool']
"Sheep Wool insulation, recycled","sheep wool insulation, recycled",,"['recycled', 'insulation']",sheep wool,,['sheep wool']
Ethylene-vinyl acetate (EVA) foam,ethylene-vinyl acetate (eva) foam,['EVA'],['foam'],ethylene-vinyl acetate,,"['ethylene-vinyl acetate', 'EVA']"
"0,Ethylene-vinyl acetate (EVA) foam, recycled","0,ethylene-vinyl acetate (eva) foam, recycled",['EVA'],"['foam', 'recycled']",0ethylene-vinyl acetate,,"['0ethylene-vinyl acetate', 'EVA']"
Polyethylene (PE) foam,polyethylene (pe) foam,['PE'],['foam'],polyethylene,,"['PE', 'polyethylene']"
Polyurethane (PU) foam,polyurethane (pu) foam,['PU'],['foam'],polyurethane,,"['polyurethane', 'PU']"
Typical EVA shoe compound,typical eva shoe compound,,,typical eva shoe compound,,['typical eva shoe compound']
Polyurethane (PU) synthetic leather,polyurethane (pu) synthetic leather,['PU'],['leather'],polyurethane synthetic,,"['polyurethane synthetic', 'PU']"
